Posted On,BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Unnamed: 12,phone number,Floor Number,Total Floors
2022-05-18,2,10000,1100,super area,bandel,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-05-13,2,20000,800,super area,"phool bagan, kankurgachi",kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-05-16,2,17000,1000,super area,salt lake city sector 2,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-07-04,2,10000,800,super area,dumdum park,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-05-09,2,7500,850,carpet area,south dum dum,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,1,2.0
2022-04-29,2,7000,600,super area,thakurpukur,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,1.0
2022-06-21,2,10000,700,super area,malancha,kolkata,unfurnished,bachelors,2,contact agent,,6360088226,0,4.0
2022-06-21,1,5000,250,super area,malancha,kolkata,unfurnished,bachelors,1,contact agent,,6360088226,1,2.0
2022-06-07,2,26000,800,carpet area,"palm avenue kolkata, ballygunge",kolkata,unfurnished,bachelors,2,contact agent,,6360088226,1,2.0
2022-06-20,2,10000,1000,carpet area,natunhat,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-05-23,3,25000,1200,carpet area,"action area 1, rajarhat newtown",kolkata,semi-furnished,bachelors/family,2,contact agent,,6360088226,1,4.0
2022-06-07,1,5000,400,carpet area,keshtopur,kolkata,unfurnished,bachelors/family,1,contact agent,,6360088226,1,1.0
2022-05-14,1,6500,250,carpet area,"tarulia, keshtopur",kolkata,furnished,bachelors,1,contact owner,,6360088226,1,4.0
2022-05-09,1,5500,375,carpet area,dum dum metro,kolkata,unfurnished,bachelors/family,1,contact agent,,6360088226,1,2.0
